"General Information","General Information"
"Title","Title"
"Not visible on frontend. Used for internal reference","Not visible on frontend. Used for internal reference"
"Identifier","Identifier"
"For internal use, must be unique. Use only alphanumeric characters, underscores and dashes","For internal use, must be unique. Use only alphanumeric characters, underscores and dashes"
"Custom Class Name","Custom Class Name"
"Add a custom class name if you wish to further customize the widget style using CSS. Refer to this name on your custom.css file","Add a custom class name if you wish to further customize the widget style using CSS. Refer to this name on your custom.css file"
"Full Width","Full Width"
"Yes","Yes"
"No","No"
"Columns Ratio","Columns Ratio"
"Left column is used for text and right column for button","Left column is used for text and right column for button"
"Background Color","Background Color"
"Select background color for the entire section","Select background color for the entire section"
"Background Image","Background Image"
"Recommended image width: 1920px","Recommended image width: 1920px"
"Margin Top","Margin Top"
"If you want to set your own margin, enter it here (e.g. 50). This is the space in pixels at the top of this widget","If you want to set your own margin, enter it here (e.g. 50). This is the space in pixels at the top of this widget"
"Margin Bottom","Margin Bottom"
"If you want to set your own margin, enter it here (e.g. 50). This is the space in pixels at the bottom of this widget","If you want to set your own margin, enter it here (e.g. 50). This is the space in pixels at the bottom of this widget"
"Text","Text"
"Text Color","Text Color"
"Select font-color","Select font-color"
"Text Size","Text Size"
"Enter font-size in pixels (e.g. 16)","Enter font-size in pixels (e.g. 16)"
"Title Style","Title Style"
"Select font-style","Select font-style"
"Title Weight","Title Weight"
"Select font-weight","Select font-weight"
"Text Line Height","Text Line Height"
"Enter line-height in pixels (e.g. 24)","Enter line-height in pixels (e.g. 24)"
"Button Type","Button Type"
"Button Text","Button Text"
"Link","Link"
"URL to redirect when button is clicked. Could be an absolute or relative path","URL to redirect when button is clicked. Could be an absolute or relative path"
"Link Target","Link Target"
"Select font-weight","Select font-weight"
"Button Text Color","Button Text Color"
"Select font-color","Select font-color"
"Button Text Color on Hover","Button Text Color on Hover"
"Select font-color on hover","Select font-color on hover"
"Button Background Color","Button Background Color"
"Select background-color. Set it to "transparent" if you selected a Ghost button type","Select background-color. Set it to "transparent" if you selected a Ghost button type"
"Button Background Color on Hover","Button Background Color on Hover"
"Select background-color on hover","Select background-color on hover"
"Button Border Color","Button Border Color"
"Select border-color","Select border-color"
"Button Border Color on Hover","Button Border Color on Hover"
"Select border-color on hover","Select border-color on hover"
"Status","Status"
"Enabled","Enabled"
"Disabled","Disabled"
"Store Views","Store Views"
"Store views","Store views"
"CallToAction","CallToAction"
"Content","Content"
"Save CallToAction","Save CallToAction"
"Delete CallToAction","Delete CallToAction"
"Save And Continue Edit","Save And Continue Edit"
"Edit CallToAction '%s'","Edit CallToAction '%s'"
"Add CallToAction","Add CallToAction"
"Columns","Columns"
"Created at","Created at"
"Updated at","Updated at"
"Action","Action"
"Edit","Edit"
"Delete","Delete"
"Change status","Change status"
"This calltoaction no longer exists.","This calltoaction no longer exists."
"CallToAction successfully saved.","CallToAction successfully saved."
"There was a problem saving the calltoaction.","There was a problem saving the calltoaction."
"Unable to find the calltoaction to save.","Unable to find the calltoaction to save."
"CallToAction was successfully deleted.","CallToAction was successfully deleted."
"There was an error deleting the calltoaction.","There was an error deleting the calltoaction."
"Could not find the calltoaction to delete.","Could not find the calltoaction to delete."
"Please select calltoactions to delete.","Please select calltoactions to delete."
"Total of %d calltoaction ctas were successfully deleted.","Total of %d calltoaction ctas were successfully deleted."
"There was an error deleting the calltoaction ctas.","There was an error deleting the calltoaction ctas."
"Please select calltoaction ctas.","Please select calltoaction ctas."
"Total of %d calltoaction ctas were successfully updated.","Total of %d calltoaction ctas were successfully updated."
"There was an error updating the calltoaction ctas.","There was an error updating the calltoaction ctas."
"Please select calltoaction.","Please select calltoaction."
"Total of %d calltoaction ctas were successfully updated.","Total of %d calltoaction ctas were successfully updated."
"There was an error updating the calltoaction.","There was an error updating the calltoaction."

