"Action","Action"
"Add Slider","Add Slider"
"Allow touch swipe navigation of the slider on touch-enabled devices","Allow touch swipe navigation of the slider on touch-enabled devices"
"An error occurred while updating the sliders.","An error occurred while updating the sliders."
"Animation Speed","Animation Speed"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change Touch Swipe","Change Touch Swipe"
"Change status","Change status"
"Could not find slider to delete.","Could not find slider to delete."
"Created at","Created at"
"Delete Slider","Delete Slider"
"Delete","Delete"
"Disabled","Disabled"
"Edit Slider '%s'","Edit Slider '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving slider","Error saving slider"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Identifier","Identifier"
"Minimum Width","Minimum Width"
"Minimum width in pixels of each category box","Minimum width in pixels of each category box"
"No","No"
"None","None"
"Please select sliders to delete.","Please select sliders to delete."
"Please select sliders.","Please select sliders."
"Position","Position"
"Product Filter","Product Filter"
"Products Source","Products Source"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Slider","Save Slider"
"Select one or more categories as the source for the Featured Products.","Select one or more categories as the source for the Featured Products."
"Slider was saved","Slider was saved"
"Slider was successfully deleted.","Slider was successfully deleted."
"Slider was successfully saved","Slider was successfully saved"
"Slider","Slider"
"Sliders","Sliders"
"Status","Status"
"Store views","Store views"
"The sliders has been deleted.","The sliders has been deleted."
"There was a problem saving the slider.","There was a problem saving the slider."
"There was an error deleting slider.","There was an error deleting slider."
"There was an error deleting sliders.","There was an error deleting sliders."
"There was an error updating sliders.","There was an error updating sliders."
"This slider no longer exists.","This slider no longer exists."
"Title","Title"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d sliders were successfully deleted.","Total of %d sliders were successfully deleted."
"Total of %d sliders were successfully updated.","Total of %d sliders were successfully updated."
"Touch Swipe","Touch Swipe"
"Unable to find slider to save.","Unable to find slider to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"
"For internal use, must be unique. Use only alphanumeric characters, underscores and dashes","For internal use, must be unique. Use only alphanumeric characters, underscores and dashes"
"Sets the amount of time in milliseconds the transition between categories will last. Note that 1000 miliseconds = 1 second","Sets the amount of time in milliseconds the transition between categories will last. Note that 1000 miliseconds = 1 second"
"This is the title shown above the widget on frontend","This is the title shown above the widget on frontend"
