"<strong>All Catalog</strong> -> Show products from entire catalog.<br /><strong>Specific Categories</strong> -> Show products from one or more categories of your choice.<br /><strong>Specific Products</strong> -> Show custom products added on "Featured Products" Tab.","<strong>All Catalog</strong> -> Show products from entire catalog.<br /><strong>Specific Categories</strong> -> Show products from one or more categories of your choice.<br /><strong>Specific Products</strong> -> Show custom products added on "Featured Products" Tab."
"Action","Action"
"Add Slider","Add Slider"
"Allow touch swipe navigation of the slider on touch-enabled devices.","Allow touch swipe navigation of the slider on touch-enabled devices."
"An error occurred while updating the sliders.","An error occurred while updating the sliders."
"Animation Speed","Animation Speed"
"Are you sure?","Are you sure?"
"Associated products","Associated products"
"CSV","CSV"
"Category Ids","Category Ids"
"Change Display Out of Stock Products","Change Display Out of Stock Products"
"Change Show Add to Cart Button","Change Show Add to Cart Button"
"Change Show Add to Compare Button","Change Show Add to Compare Button"
"Change Show Add to Wishlist Button","Change Show Add to Wishlist Button"
"Change Show Category Tabs","Change Show Category Tabs"
"Change Show Color Options","Change Show Color Options"
"Change Show Price Tag","Change Show Price Tag"
"Change Show Products Rating","Change Show Products Rating"
"Change Touch Swipe","Change Touch Swipe"
"Change status","Change status"
"Choose how the products are ordered on the slider.","Choose how the products are ordered on the slider."
"Could not find slider to delete.","Could not find slider to delete."
"Created at","Created at"
"Delete Slider","Delete Slider"
"Delete","Delete"
"Disabled","Disabled"
"Display Out of Stock Products","Display Out of Stock Products"
"Edit Slider '%s'","Edit Slider '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving slider","Error saving slider"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Identifier","Identifier"
"If Yes, color options of configurable products will be shown.","If Yes, color options of configurable products will be shown."
"If Yes, tabs will be added with links to allow filtering by category name. This option only works when you select products from at least two distinct categories.","If Yes, tabs will be added with links to allow filtering by category name. This option only works when you select products from at least two distinct categories."
"Limit","Limit"
"Maximum amount of products to be featured on the slider. Enter "0" to display all matching products.","Maximum amount of products to be featured on the slider. Enter "0" to display all matching products."
"Minimum Width","Minimum Width"
"Minimum width in pixels of each product box.","Minimum width in pixels of each product box."
"No","No"
"None","None"
"Please select sliders to delete.","Please select sliders to delete."
"Please select sliders.","Please select sliders."
"Position","Position"
"Product Filter","Product Filter"
"Products Source","Products Source"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Slider","Save Slider"
"Select one or more categories as the source for the Featured Products.","Select one or more categories as the source for the Featured Products."
"Sets the amount of time in milliseconds the transition between products will last. Note that 1000 miliseconds = 1 second","Sets the amount of time in milliseconds the transition between products will last. Note that 1000 miliseconds = 1 second"
"Show Add to Cart Button","Show Add to Cart Button"
"Show Add to Compare Button","Show Add to Compare Button"
"Show Add to Wishlist Button","Show Add to Wishlist Button"
"Show Category Tabs","Show Category Tabs"
"Show Color Options","Show Color Options"
"Show Price Tag","Show Price Tag"
"Show Products Rating","Show Products Rating"
"Slider was saved","Slider was saved"
"Slider was successfully deleted.","Slider was successfully deleted."
"Slider was successfully saved","Slider was successfully saved"
"Slider","Slider"
"Sliders","Sliders"
"Status","Status"
"Store views","Store views"
"The sliders has been deleted.","The sliders has been deleted."
"There was a problem saving the slider.","There was a problem saving the slider."
"There was an error deleting slider.","There was an error deleting slider."
"There was an error deleting sliders.","There was an error deleting sliders."
"There was an error updating sliders.","There was an error updating sliders."
"This slider no longer exists.","This slider no longer exists."
"Title","Title"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d sliders were successfully deleted.","Total of %d sliders were successfully deleted."
"Total of %d sliders were successfully updated.","Total of %d sliders were successfully updated."
"Touch Swipe","Touch Swipe"
"Unable to find slider to save.","Unable to find slider to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"
"For internal use, must be unique. Use only alphanumeric characters, underscores and dashes","For internal use, must be unique. Use only alphanumeric characters, underscores and dashes"
"This is the title shown above the widget on frontend","This is the title shown above the widget on frontend"
