"Show all Brands","Show all Brands"
"Hide all Brands","Hide all Brands"
"Action When Logo is Clicked","Action When Logo is Clicked"
"Action","Action"
"Add Image","Add Image"
"Add New Slider","Add New Slider"
"Allow touch swipe navigation of the slider on touch-enabled devices","Allow touch swipe navigation of the slider on touch-enabled devices"
"An error occurred while updating the image.","An error occurred while updating the image."
"An error occurred while updating the brand sliders.","An error occurred while updating the brand sliders."
"Animation Speed","Animation Speed"
"Are you sure?","Are you sure?"
"Associated Logos","Associated Logos"
"The image was saved.","The image was saved."
"The image was successfully deleted.","The image was successfully deleted."
"The image was successfully saved.","The image was successfully saved."
"Images","Images"
"Brand Sliders was saved","Brand Sliders was saved"
"The slider was successfully deleted.","The slider was successfully deleted."
"The sliders was successfully saved","The sliders was successfully saved"
"Sliders","Sliders"
"Slider","Slider"
"CSV","CSV"
"Change Show Navigation Arrows","Change Show Navigation Arrows"
"Change Show Navigation Bullets","Change Show Navigation Bullets"
"Change Touch Swipe","Change Touch Swipe"
"Change status","Change status"
"Could not find an image to delete.","Could not find an image to delete."
"Could not find the slider to delete.","Could not find the slider to delete."
"Created at","Created at"
"Delete Image","Delete Image"
"Delete Slider","Delete Slider"
"Delete","Delete"
"Disabled","Disabled"
"Edit Image '%s'","Edit Image '%s'"
"Edit Brand Sliders '%s'","Edit Brand Sliders '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving images","Error saving images"
"Error saving brand sliders","Error saving brand sliders"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Identifier","Identifier"
"Logo Image","Logo Image"
"Minimum Width","Minimum Width"
"Minimum width in pixels for each logo","Minimum width in pixels for each logo"
"Name of the brand.","Name of the brand."
"No","No"
"None","None"
"Please select an image to delete.","Please select an image to delete."
"Please select an image.","Please select an image."
"Please select a slider to delete.","Please select a slider to delete."
"Please select a slider.","Please select a slider."
"Product Search Key","Product Search Key"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Image","Save Image"
"Save Slider","Save Slider"
"Search -> A search will be performed using the string you enter in the next field.<br/>URL -> User will be redirected to the URL specified in the next field.","Search -> A search will be performed using the string you enter in the next field.<br/>URL -> User will be redirected to the URL specified in the next field."
"Search key to look up when logo is clicked","Search key to look up when logo is clicked"
"Select the logo image from your computer.","Select the logo image from your computer."
"Sets the amount of time in milliseconds the transition between logos will last. Note that 1000 miliseconds = 1 second","Sets the amount of time in milliseconds the transition between logos will last. Note that 1000 miliseconds = 1 second"
"Show Navigation Arrows","Show Navigation Arrows"
"Show Navigation Bullets","Show Navigation Bullets"
"Status","Status"
"Store views","Store views"
"The image(s) has been deleted.","The image(s) has been deleted."
"The brand sliders has been deleted.","The brand sliders has been deleted."
"There was a problem saving the image.","There was a problem saving the image."
"There was a problem saving the slider.","There was a problem saving the slider."
"There was an error deleting the slider.","There was an error deleting the slider."
"There was an error deleting the image.","There was an error deleting the image."
"There was an error updating the image.","There was an error updating the image."
"There was an error updating the slider.","There was an error updating the slider."
"This image no longer exists.","This image no longer exists."
"This sliders no longer exists.","This sliders no longer exists."
"Title of the slider","Title of the slider"
"Title","Title"
"Total of %d images were successfully deleted.","Total of %d images were successfully deleted."
"Total of %d images were successfully updated.","Total of %d images were successfully updated."
"Total of %d sliders were successfully deleted.","Total of %d sliders were successfully deleted."
"Total of %d sliders were successfully updated.","Total of %d sliders were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Touch Swipe","Touch Swipe"
"URL to Redirect on Click","URL to Redirect on Click"
"URL to redirect when logo is clicked","URL to redirect when logo is clicked"
"Unable to find the image to save.","Unable to find the image to save."
"Unable to find the slider to save.","Unable to find the slider to save."
"For internal use, must be unique. Use only alphanumeric characters, underscores and dashes","For internal use, must be unique. Use only alphanumeric characters, underscores and dashes"
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"
