"Action","Action"
"Add Menu","Add Menu"
"An error occurred while updating the menus.","An error occurred while updating the menus."
"Are you sure?","Are you sure?"
"Bottom Block","Bottom Block"
"CSV","CSV"
"Change status","Change status"
"Could not find menu to delete.","Could not find menu to delete."
"Created at","Created at"
"Delete Menu","Delete Menu"
"Delete","Delete"
"Disabled","Disabled"
"Edit Menu '%s'","Edit Menu '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving menu","Error saving menu"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Menu Style","Menu Style"
"Menu was saved","Menu was saved"
"Menu was successfully deleted.","Menu was successfully deleted."
"Menu was successfully saved","Menu was successfully saved"
"Menu","Menu"
"Menus","Menus"
"No","No"
"None","None"
"Please select menus to delete.","Please select menus to delete."
"Please select menus.","Please select menus."
"Proportions: Subcategories / Block Right","Proportions: Subcategories / Block Right"
"Reset","Reset"
"Right Block","Right Block"
"Save And Continue Edit","Save And Continue Edit"
"Save Menu","Save Menu"
"Set the proportions between the block of subcategories and Block Right. This field only applies to top-level categories.","Set the proportions between the block of subcategories and Block Right. This field only applies to top-level categories."
"Status","Status"
"Store views","Store views"
"The menus has been deleted.","The menus has been deleted."
"There was a problem saving the menu.","There was a problem saving the menu."
"There was an error deleting menu.","There was an error deleting menu."
"There was an error deleting menus.","There was an error deleting menus."
"There was an error updating menus.","There was an error updating menus."
"This field only applies to top-level categories.","This field only applies to top-level categories."
"This menu no longer exists.","This menu no longer exists."
"Title","Title"
"Top Block","Top Block"
"Total of %d menus were successfully deleted.","Total of %d menus were successfully deleted."
"Total of %d menus were successfully updated.","Total of %d menus were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find menu to save.","Unable to find menu to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"
