"Enable jQuery (1.9.1)","Загружать jQuery (1.9.1)"
"Enable Migrate (1.2.1)","Загружать Migrate (1.2.1)"
"Enable Fancybox (1.3.4) + Easing (1.3)","Загружать Fancybox (1.3.4) + Easing (1.3)"
"License Key","Номер Лицензии"
"PRO Access","ПРО доступ"
"<a href=""http://ecommerceshift.com/pro-access/"" target=""_blank"">PRO Access</a> gives you access to unique collection of exclusive extensions, themes and tuts.","<p>Данный модуль отвечает за общие настройки <a href=""http://magebox.ru/pro-dostup/"" target=""_blank"">ПРО модулей</a> и обязателен для их работы."
"PRO User Email","Зарегистрированный Email"
"Needed for PRO Modules and Support. Set email on which you have purchased PRO Access.","Необходимо для работы ПРО модулей и оказания поддержки. Укажите Email, на который был зарегистрирован ПРО доступ.<br /> p.s. Мы не используем данные о вашем сайте. Данное поле используется только при вашем обращении в службу поддержки."
"Common","Общие настройки"
"eCommerce Shift","MageBox"
"Ecommerce Shift","MageBox"
"Other","Разное"
"Enable Font Awesome","Включить Font Awesome"
"You may use Font Awesome to display vector icons on your store.","Вы сможете использовать иконки <a href=""http://fontawesome.io/"" target=""_blank"">Font Awesome</a> на вашем сайте."
"News and Updates","Новости и обновления"
