"%s codes deleted","удалено кодов %s"
"%s codes imported","импортировано кодов %s"
"%s codes not imported","кодов не импортировано %s"
"%s product in feed.","%s product in feed."
"%s product not in feed.","%s product not in feed."
"Add new","Add new"
"Attrib. Set Name","Attrib. Set Name"
"Attributes map","Attributes map"
"Cron Frequency","Cron Frequency"
"Cron Hour","Cron Hour"
"Delete","Удалить"
"Eav code","Eav code"
"FTP Password","FTP пароль"
"FTP Path","FTP путь"
"FTP Server","FTP сервер"
"FTP Settings","FTP настройки"
"FTP User","FTP пользователь"
"FTP: Can't delete files","FTP: невозможно удалить файлы"
"Feed","Feed"
"Feed code","Feed code"
"ID","ИД"
"Import","Импорт"
"Import attribute map","Import attribute map"
"Import code","Код импорта"
"In feed","In feed"
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started.","In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started."
"Is imported","Is imported"
"Item params","Параметры позиции"
"Manage attributes","Управление атрибутами"
"Manage items","Управление позициями"
"Not import","Not import"
"Not publish","Not publish"
"Price","Цена"
"Product Name","Название товара"
"Product import","Импорт товаров"
"Publish","Publish"
"SKU","Артикул (SKU)"
"Settings","Настройки"
"The Find","The Find"
"TheFind Feed Filename","TheFind Feed Filename"
"TheFind feed","TheFind feed"
"Type","Тип"
"Unable to process an import. ","Невозможно запустить импорт. "
"Update TheFind Item when Product is Updated","Update TheFind Item when Product is Updated"
