" The customer does not exist in the system anymore."," Данных о клиенте больше нет в системе"
" You will need to navigate to your "," Вам будет необходимо перейти к "
" [deleted]"," [удалено]"
" and "," и "
" and go to the "," and go to the "
" note that the URLs provided below are the correct values for your current website): "," напоминаем, что показанные ниже адреса правильные для вашего текущего сайта): "
" sections for your Hosted Checkout Pages."," sections for your Hosted Checkout Pages."
"%s (Default Template from Locale)","%s (Шаблон по умолчанию из локализации)"
"%s cache type(s) disabled.","Типов кэша отключено: %s шт."
"%s cache type(s) enabled.","Типов кэша включено: %s шт."
"%s cache type(s) refreshed.","Типов кэша обновлено: %s шт."
"(Absolute path or Relative to Magento install root, ex. var/export)","(Абсолютный или относительный путь к корневой папке Magento, например var/export)"
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Для типа ""Локальный сервер"" необходимо использовать относительный путь к папкам Magento var/export или var/import, например, var/export, var/import, var/export/какая-то/папка, var/import/какая-то/папка)"
"(For US 2-letter state names)","(Для двухбуквенных названий штатов США)"
"(If left empty will be auto-generated)","(Будет сгенерировано автоматически, если оставить пустым)"
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Включает в себя больше стран, чем перечислено ниже. Как владелец приложения, вы несёте ответственность за соблюдение законов конкретных стран, включая свою страну, при продаже или распространении вашего приложения.)"
"(Leave empty for first spreadsheet)","(Оставьте пустым для первой таблицы)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Товар будет добавлен/обновлён для этого магазина, если столбец 'магазин' пустой или отсутствует в файле импорта.)"
"(Shift-)Click or drag to change value","(Shift+)Нажмите или тяните для изменения значения"
"(Starting with)","(Начиная с)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Если выбрано 'Нет', будут импортированы только привязанные(mapped) поля. Когда привязываете поля, используйте 'column1', 'column2' и т.д.)"
"(You have to increase php memory_limit before changing this value)","(Необходимо увеличить php memory_limit перед изменением этого значения)"
"(\\t for tab)","(\\t для tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Если в этот момент выполняется обновление индексов, то оно будет остановлено и запущено заново."
"* Required Fields","* Обязательные поля"
"- Click on any of the time parts to increase it","- Нажмите на любую часть времени для её увеличения"
"- Hold mouse button on any of the above buttons for faster selection.","- Держите кнопку мышки нажатой на любой из этих кнопок для более быстрого выбора."
"- Use the %s buttons to select month","- Используйте кнопки %s для выбора месяца"
"- Use the %s, %s buttons to select year","- Используйте кнопки %s, %s для выбора года"
"- or Shift-click to decrease it","- или Shift+щелчок мышки для уменьшения"
"- or click and drag for faster selection.","- или нажмите и тяните для более быстрого выбора."
"-- Not Selected --","-- Не выбрано --"
"-- Please Select --","-- Выберите --"
"-- Please Select Billing Agreement--","-- Выберите платёжное соглашение--"
"-- Please Select a Category --","-- Выберите категорию --"
"-- Please select --","-- Выберите --"
"--Please Select--","--Выберите--"
"1 Hour","1 час"
"1. set up","1. set up"
"10:40 AM","10:40 утра"
"10:40:00 AM","10:40 утра"
"12 Hours","12 часов"
"12h AM/PM","12 часовой (AM/PM)"
"2 Hours","2 часа"
"2. customize","2. customize"
"24 Hours","24 часа"
"24h","24 часовой"
"2YTD","2 Года"
"6 Hours","6 часов"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Ошибка 404</h1><p>Страница не найдена.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> запрашивает доступ к вашей учётной записи"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Внимание</strong>: Captcha регистрозависимая."
"A new password was sent to your email address. Please check your email and click Back to Login.","Новый пароль был отправлен на вашу электронную почту. Пожалуйста, проверьте свой почтовый ящик и нажмите ""Вернуться"", чтобы перейти на форму авторизации."
"A user with the same user name or email aleady exists.","Пользователь с таким именем или адресом электронной почты (email) уже существует."
"API Key","API ключ"
"API Key Confirmation","Подтверждение API ключа"
"API Stability","Стабильность API"
"API Version","Версия API"
"ASCII","ASCII"
"Abandoned Carts","Заброшенные корзины"
"About the calendar","О календаре"
"Access Denied","Доступ запрещён"
"Access denied","Доступ запрещён"
"Access denied.","Доступ запрещён."
"Account Created in:","Учётная запись создана:"
"Account Created on (%s):","Учётная запись создана (%s):"
"Account Created on:","Учётная запись создана:"
"Account Information","Информация об учётной записи"
"Account Status","Статус учётной записи"
"Account status","Статус учётной записи"
"Action","Действие"
"Actions","Действия"
"Actions XML","XML действия"
"Activate","Активировать"
"Activation Information","Информация по активации"
"Active","Активен"
"Active From","Использовать с"
"Active To","Использовать по"
"Add","Добавить"
"Add Author","Добавить автора"
"Add Contents Path","Добавить путь к содержимому"
"Add Exception","Добавить исключение"
"Add Field Mapping","Добавить привязку поля (mapping)"
"Add Field with URL:","Добавить поле с URL:"
"Add Maintainer","Добавить сопровождающего"
"Add More Templates","Добавить больше шаблонов"
"Add New","Добавить"
"Add New Image","Добавить новое изображение"
"Add New Profile","Добавить новый профиль"
"Add New Role","Добавить новую роль"
"Add New Template","Добавить новый шаблон"
"Add New URL Rewrite","Добавить новое правило URL"
"Add New User","Добавить нового пользователя"
"Add New Variable","Добавить новую переменную"
"Add New osCommerce Profile","Добавить новый профиль osCommerce"
"Add PHP Extension dependency","Добавить зависимость от расширений PHP"
"Add Package dependency","Добавить зависимость от пакетов"
"Add Products","Добавить товары"
"Add Subpackage dependency","Добавить зависимость подпакетов"
"Add URL Rewrite","Добавить правило URL"
"Add URL Rewrite for a Category","Добавить правило URL для категории"
"Add URL Rewrite for a Product","Добавить правило URL для товара"
"Add after","Добавить после"
"Add to Cart","В корзину"
"Add to Wishlist","В избранное"
"Additional Cache Management","Дополнительное управление кэшем"
"Address Type:","Тип адреса:"
"Admin","Администратор"
