"%s","%s"
"%s role is a special one and can\'t be changed.","Роль %s является особенной и не может быть изменена."
"%s role is a special one and can\'t be deleted.","Роль %s является особенной и не может быть удалена."
"%s role is protected.","Роль %s защищена."
"ACL Attribute Rules","Правила атрибутов ACL"
"ACL Attributes Information","Информация атрибутов ACL"
"Add","Добавить"
"Add Admin Role","Добавить роль для панели пдминистратора"
"Add New Role","Добавить роль"
"Address Type","Тип адреса"
"Admin","Панель администрирования"
"Allow","Разрешить"
"An error occurred while deleting the role.","Ошибка во время удаления роли."
"An error occurred while saving attribute rules.","Ошибка во время сохранения правил атрибутов."
"An error occurred while saving role.","Ошибка при сохранении роли."
"Api Rules Information","Информация API правил"
"Assigned","Соответствует"
"Associate to Website","Связать с сайтом"
"Attribute Rules Information","Информация о правилах атрибутов"
"Attribute Set","Набор атрибутов"
"Attributes","Атрибуты"
"Automatically Return Credit Memo Item to Stock","Автоматически увеличивать наличие позиции после возврата платежа"
"Back","Вернуться"
"Backorders","Задолженные заказы"
"Base Currency","Основная валюта"
"Base Customer Balance","Баланс клиента (в основной валюте)"
"Base Discount","Скидка (в основной валюте)"
"Base Discount Amount","Величина скидки (в основной валюте)"
"Base Item Subtotal","Итог строки (в основной валюте)"
"Base Item Subtotal Including Tax","Итог строки включая налог (в основной валюте)"
"Base Original Price","Первоначальная цена (в основной валюте)"
"Base Price","Цена (в основной валюте)"
"Base Price Including Tax","Цена с налогом (в основной валюте)"
"Base Shipping","Доставка (в основной валюте)"
"Base Shipping Discount","Скидка на доставку (в основной валюте)"
"Base Shipping Tax","Налог на доставку (в основной валюте)"
"Base Subtotal","Промежуточный итог (в основной валюте)"
"Base Subtotal Including Tax","Промежуточный итог включая налог (в основной валюте)"
"Base Tax Amount","Величина налога (в основной валюте)"
"Base Total Due","Требуется получить (в основной валюте)"
"Base Total Paid","Всего оплачено (в основной валюте)"
"Base Total Refunded","Всего возвращено (в основной валюте)"
"Buy Now URL","URL Купить сейчас"
"Can Be Divided into Multiple Boxes for Shipping","При доставке может быть упковано в несколько коробок"
"Canceled Qty","Отменённое кол-во"
"Catalog","Каталог"
"Catalog Product","Товар каталога"
"CatalogInventory","Склад каталога"
"Category ID","ИД категории"
"City","Город"
"Company","Компания"
"Country","Страна"
"Coupon Code","Код купона"
"Create","Создать"
"Create Permanent Redirect for old URL","Создать постоянную переадресацию для старых URL"
"Created From","Создано из"
"Customer","Клиент"
"Customer Address","Адрес клиента"
"Customer Address ID","ИД адреса клиента"
"Customer Balance","Баланс клиента"
"Customer First Name","Имя клиента"
"Customer ID","ИД клиента"
"Customer Last Name","Фамилия клиента"
"Customer Middle Name","Отчество клиента"
"Customer Prefix","Префикс клиента"
"Customer Suffix","Суффикс клиента"
"Default Image","Изображение по умолчанию"
"Delete","Удалить"
"Deny","Отклонить"
"Disable automatic group change based on VAT ID","Отключить автоматическое изменение группы по номеру плательщика НДС"
"Discount","Скидка"
"Discount Amount","Величина скидки"
"Discount Description","Описание скидки"
"Edit","Редактировать"
"Edit %s ACL attribute rules","Редактировать правила атрибутов для ACL %s"
"Edit Role","Редактировать роль"
"Edit attribute rules for %s Role","Редактировать правила атрибутов роли %s"
"Email","Электронная почта (email)"
"Enable Qty Increments","Включить шаг количества"
"Exclude","Исключить"
"File Content","Содержимое файла"
"File MIME Type","MIME тип файла"
"File Name","Название файла"
"Final Price With Tax","Окончательная цена с налогом"
"Final Price Without Tax","Окончательная цена без налога"
"First Name","Имя"
"Gift Message","Поздравительное сообщение"
"Grand Total","Итоговая сумма"
"Grand Total to Be Charged","Итоговая сумма к оплате"
"Group","Группа"
"Guest","Гость"
"Has Custom Options","Есть настраиваемые варианты"
"ID","ИД"
"Inventory Data","Данные склада"
"Invoiced Qty","Кол-во в счёте"
"Is Confirmed","Подтверждено"
"Is Default Billing Address","Адрес покупателя по умолчанию"
"Is Default Shipping Address","Адрес доставки по умолчанию"
"Item ID","ИД позиции"
"Item Subtotal","Сумма позиции"
"Item Subtotal Including Tax","Сумма позиции (включая налог)"
"Label","Квиток"
"Last Logged In","Последняя авторизация"
"Last Name","Фамилия"
"Low Stock Date","Малое кол-во на складе. Дата"
"Manage Stock","Управление наличием"
"Maximum Qty Allowed in Shopping Cart","Максимальное кол-во товара, разрешённое в корзине"
"Minimum Qty Allowed in Shopping Cart","Минимальное кол-во товара, разрешённое в корзине"
"New Role","Новая роль"
"Notify for Quantity Below","Оповещать о количестве ниже"
"OAuth","OAuth"
"Order","Заказ"
"Order Addresses","Адреса заказа"
"Order Comments","Комментарии к заказу"
"Order Currency","Валюта заказа"
"Order Date","Дата заказа"
"Order ID","ИД заказа"
"Order ID (internal)","ИД заказа (внутренний)"
"Order Item ID","ИД позиции заказа"
"Order Items","Позиции заказа"
"Order Status","Статус заказа"
"Ordered Qty","Заказанное кол-во"
"Orders","Заказы"
"Original Price","Первоначальная цена"
"Parent Order Item ID","ИД позиции родительского заказа"
"Payment Method","Способ оплаты"
"Phone Number","Номер телефона"
"Placed from IP","Размещён с IP адреса"
"Please enter a valid number in ""max_sale_qty"" field","Пожалуйста, введите правильное число в поле ""max_sale_qty"""
"Please enter a valid number in ""min_qty"" field","Пожалуйста, введите правильное число в поле ""min_qty"""
"Please enter a valid number in ""min_sale_qty"" field","Пожалуйста, введите правильное число в поле ""min_sale_qty"""
"Please enter a valid number in ""notify_stock_qty"" field","Пожалуйста, введите правильное число в поле ""notify_stock_qty"""
"Please use numbers only in ""category_id"" field.","Пожалуйста, используйте только числа в поле ""category_id""."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Пожалуйста, используйте только числа в поле ""qty_increments"". Не используйте пробелы или другие символы (точки, запятые и т.п.)"
"Position","Позиция"
"Price","Цена"
"Price Including Tax","Цена с налогом"
"Product","Товар"
"Product Category","Категория товара"
"Product ID","ИД товара"
"Product Image","Изображение товара"
"Product Type","Тип товара"
"Product URL","URL товара"
"Product Website","Сайт товара"
"Product and Custom Options Name","Название товара и настраиваемых вариантов"
"Qty","Кол-во"
"Qty Increments","Шаг количества"
"Qty Uses Decimals","Дробное кол-во"
"Qty for Item's Status to Become Out of Stock","Кол-во, при котором статус товара становится ""нет в наличии"""
"REST - Attributes","REST- Атрибуты"
"REST - Roles","REST - Роли"
"REST ACL Attributes","REST атрибуты ACL"
"REST Attributes","REST Атрибуты"
"REST Role","REST роль"
"REST Roles","REST Роли"
"REST Roles Information","REST информация о ролях"
"Read","Читать"
"Refunded Qty","Возвращённое кол-во"
"Regular Price With Tax","Обычная цена с налогом"
"Regular Price Without Tax","Обычная цена без налога"
"Rest Roles","Rest роли"
"Retrieve","Получить"
"Role ""%s"" no longer exists","Роль ""%s"" больше не существует"
"Role ""%s"" not found.","Роль ""%s"" не найдена."
"Role API Resources","Ресурсы API роли"
"Role Info","Информация о роли"
"Role Information","Информация о роли"
"Role Name","Название роли"
"Role Users","Пользователи с этой ролью"
"Role has been deleted.","Роль удалена."
"Roles","Роли"
"SKU","Артикул"
"Salability Status","Статус пригодности к продаже"
"Sales","Продажи"
"Save","Сохранить"
"Shipped Qty","Отправленное кол-во"
"Shipping Amount","Сумма доставки"
"Shipping Discount","Скидка на доставку"
"Shipping Including Tax","Стоимость доставки с налогом"
"Shipping Method","Способ доставки"
"Shipping Tax","Налог на доставку"
"State","Состояние"
"Stock Availability","Наличие на складе"
"Stock ID","ИД склада"
"Stock Item","Позиция склада"
"Stock Status","Статус наличия"
"Store Currency to Order Currency Rate","Курс валюты магазина к валюте заказа"
"Store Name","Название магазина"
"Street","Улица"
"Subtotal","Сумма"
"Subtotal Including Tax","Сумма (включая налог)"
"System","Система"
"Tax Amount","Сумма налога"
"Tax Name","Название налога"
"Tax Percent","Процент налога"
"Tax Rate","Налоговая ставка"
"The ""enable_qty_increments"" field must be set to 0 or 1.","Поле ""enable_qty_increments"" должно быть установлено в 0 или 1."
"The ""is_decimal_divided"" field must be set to 0 or 1.","Поле ""is_decimal_divided"" должно быть установлено в 0 или 1."
"The ""is_in_stock"" field must be set to 0 or 1.","Поле ""is_in_stock"" должно быть установлено в 0 или 1."
"The ""is_qty_decimal"" field must be set to 0 or 1.","Поле ""is_qty_decimal"" должно быть установлено в 0 или 1."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","Поле ""is_qty_decimal"" должно быть установлено в 0, 1 или 2."
"The ""manage_stock"" field must be set to 0 or 1.","Поле ""manage_stock"" должно быть установлено в 0 или 1."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","Поле ""stock_status_changed_auto"" должно быть установлено в 0 или 1."
"The ""use_config_backorders"" field must be set to 0 or 1.","Поле ""use_config_backorders"" должно быть установлено в 0 или 1."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","Поле ""use_config_enable_qty_inc"" должно быть установлено в 0 или 1."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","Поле ""use_config_manage_stock"" должно быть установлено в 0 или 1."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","Поле ""use_config_max_sale_qty"" должно быть установлено в 0 или 1."
"The ""use_config_min_qty"" field must be set to 0 or 1.","Поле ""use_config_min_qty"" должно быть установлено в 0 или 1."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","Поле ""use_config_min_sale_qty"" должно быть установлено в 0 или 1."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","Поле ""use_config_notify_stock_qty"" должно быть установлено в 0 или 1."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","Поле ""use_config_qty_increments"" должно быть установлено в 0 или 1."
"The attribute rules were saved.","Правила атрибутов сохранены."
"The role has been saved.","Роль сохранена."
"The role is a special one and not for assigning it to admin users.","Это особая роль, которую нельзя назначать администраторам."
"Total Due","Требуется получить"
"Total Paid","Всего оплачено"
"Total Refunded","Всего возвращено"
"Total Reviews Count","Общее кол-во отзывов"
"Type",",Тип"
"URL","URL"
"Update","Обновить"
"Use Config Settings for Allow Gift Message","Использовать настройки конфигурации для параметра Разрешить поздравительные сообщения"
"Use Config Settings for Allow Gift Wrapping","Использовать настройки конфигурации для параметра Разрешить упаковку подарков"
"Use Config Settings for Backorders","Использовать настройки конфигурации для параметра Задолженные заказы"
"Use Config Settings for Enable Qty Increments","Использовать настройки конфигурации для параметра Включить шаг количества"
"Use Config Settings for Manage Stock","Использовать настройки конфигурации для параметра Управление наличием"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Использовать настройки конфигурации для параметра Максимальное кол-во товара, разрешённое в корзине"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Использовать настройки конфигурации для параметра Минимальное кол-во товара, разрешённое в корзине"
"Use Config Settings for Notify for Quantity Below","Использовать настройки конфигурации для параметра Оповещать о количестве ниже"
"Use Config Settings for Qty Increments","Использовать настройки конфигурации для параметра Шаг количества"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Использовать настройки конфигурации для параметра Кол-во, при котором статус товара становится ""нет в наличии"""
"User Type","Тип пользователя"
