"--Please Select--","--Выберите--"
"API Login ID","API Login ID"
"Accepted Currency","Разрешённая валюта"
"Amount of %s approved by payment gateway. Transaction ID: ""%s"".","Amount of %s approved by payment gateway. Transaction ID: ""%s""."
"Authorize.net Direct Post","Authorize.net Direct Post"
"Card Verification Number","Номер проверки карты"
"Card Verification Number Visual Reference","Номер проверки карты. Визуальный справочник"
"Close","Закрыть"
"Credit Card Information","Кредитная карта. Информация"
"Credit Card Number","Кредитная карта. Номер"
"Credit Card Type","Кредитная карта. Тип"
"Credit Card Types","Кредитная карта. Типы"
"Credit Card Verification","Кредитная карта. Проверка"
"Debug","Debug"
"Email Customer","Оповестить клиента"
"Enabled","Включено"
"Expiration Date","Дата истечения срока действия"
"Gateway URL","URL шлюза"
"Maximum Order Total","Максимальная сумма заказа"
"Merchant MD5","Merchant MD5"
"Merchant's Email","Email продавца"
"Minimum Order Total","Минимальная сумма заказа"
"New Order Status","Статус нового заказа"
"Order saving error: %s","Ошибка сохранения заказа: %s"
"Payment Action","Действие оплаты"
"Payment authorization error.","Ошибка авторизации оплаты."
"Payment authorization error. Transacion id is empty.","Ошибка авторизации оплаты. Пустой идентификатор транзакции."
"Payment error. Order was not found.","Ошибка оплаты. Заказ не найден."
"Payment error. Paid amount doesn\'t match the order amount.","Ошибка оплаты. Сумма оплаты не соответствует сумме заказа."
"Payment from Applicable Countries","Оплата из доступных стран"
"Payment from Specific Countries","Оплата из выбранных стран"
"Please, choose payment method","Выберите способ оплаты"
"Response hash validation failed. Transaction declined.","Хэш ответа не прошёл проверку. Транзакция отклонена."
"Sort Order","Порядок сортировки"
"Test Mode","Тестовый режим"
"The order has been created.","Заказ создан."
"There was an error processing your order. Please contact us or try again later.","Во время обработки заказа произошла ошибка. Пожалуйста, попробуйте позже или свяжитесь с администрацией."
"Title","Заголовок"
"Transaction Key","Ключ транзакции"
"What is this?","Что это?"
"You will be required to enter your payment details before you place an order.","Необходимо указать параметры платежа до завершения заказа."
