"Action","Действие"
"An error occurred while creating the backup.","Ошибка при создании резервной копии."
"An error occurred while writing to the backup file ""%s"".","Ошибка при записи в файл резервной копии ""%s""."
"Are you sure you want to delete the selected backup(s)?","Вы действительно хотите удалить выбранные резервные копии?"
"Backup Type","Тип резервной копии"
"Backup file ""%s"" cannot be read from or written to.","Невозможно считать или записать файл резервной копии ""%s""."
"Backup file ""%s"" does not exist.","Файл резервной копии ""%s"" не существует."
"Backup file does not exist.","Файл резервной копии не существует."
"Backup file handler was unspecified.","Не указан обработчик файла резервной копии."
"Backup file not found","Файл резервной копии не найден"
"Backup file path was not specified.","Не указан путь к файлу резервной копии."
"Backups","Резервные копии"
"Cannot read backup file.","Невозможно считать файл резервной копии."
"Create Backup","Создать резервную копию"
"DB","БД"
"Database","База данных"
"Database Backup","Резервная копия БД"
"Database and Media","База данных и Медиа"
"Database and Media Backup","Резервная копия БД и Медиа"
"Database was successfuly backed up.","Резервная копия базы данных успешно создана."
"Download","Скачать"
"Enable Scheduled Backup","Включить резервное копирование по расписанию"
"Failed to connect to FTP","Не удалось подключиться к FTP"
"Failed to delete one or several backups.","Не удалось удалить одну или несколько резервный копий."
"Failed to rollback","Восстановление не удалось"
"Failed to validate FTP","Не удалось проверить FTP"
"Frequency","Периодичность"
"Invalid Password.","Неверный пароль."
"Maintenance Mode","Режим обслуживания"
"Name","Название"
"Not enough free space to create backup.","Недостаточно места для создания резервной копии."
"Not enough permissions to create backup.","Недостаточно прав для создания резервной копии."
"Not enough permissions to perform rollback","Недостаточно прав для восстановления резервной копии."
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Пожалуйста, либо снимите галочку с параметра ""Перевести магазин в режим обслуживания"" или обновите ваши права для продолжения резервного копирования."""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Пожалуйста, либо снимите галочку с параметра ""Перевести магазин в режим обслуживания"" или обновите ваши права для продолжения процесса восстановления из резервной копии."""
"Put store on the maintenance mode while backup's creation","Перевести магазин в режим обслуживания на время создания резервной копии"
"Rollback","Восстановить"
"Scheduled Backup Settings","Настройки резервного копирования по расписанию"
"Size, Bytes","Размер (в байтах)"
"Start Time","Время начала"
"System","Система"
"System (excluding Media)","Система (исключая Медиа)"
"System Backup","Резервная копия системы"
"System couldn't put store on the maintenance mode","Система не может перевести магазин в режим обслуживания"
"The database and media backup has been created.","Резервная копия базы данных и медиа успешно создана."
"The database backup has been created.","Резервная копия базы данных учпешно создана."
"The file was compressed with Zlib, but this extension is not installed on server.","Файл сжат при помощи Zlib, но это расширение не установлено на сервере."
"The selected backup(s) has been deleted.","Выбранные резервные копии удалены."
"The system (excluding Media) backup has been created.","Резервная копия системы (без медиа) успешно создана."
"The system backup has been created.","Резервная копия системы успешно создана."
"Time","Время"
"Type","Тип"
"Unable to create backup. Please, try again later.","Невозможно создать резервную копию. Пожалуйста, повторите попытку позже."
"Unable to save the cron expression.","Невозможно сохранить команду запуска задачи."
"Wrong order of creation for new backup.","Неправильный порядок создания для новой резервной копии."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","У вас недостаточно прав для включения режима обслуживания во время этой опреации."
