"# of Use","# использования"
"%1$s incl tax.","%1$s вкл. налог."
"%s - %s","%s - %s"
"%s Item(s)","%s шт."
"%s and above","%s и больше"
"(%d)","(%d)"
"(Copy data from: %s)","(Скопировать данные из: %s)"
"(Will make search for the query above return results for this search.)","(Вернёт результат по запросу выше.)"
"* Required Fields","* Обязательные поля"
"-- Please Select --","-- Выберите --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","Если не указано, то используется значение по умолчанию: 86400. Чтобы обновить незамедлительно, очистите кэш Вывод HTML Блоков."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Внимание!</strong> Применение РРЦ по умолчанию скроет все цены товаров в пользовательской части."
"A group with the same name already exists.","Группа с таким же именем уже существует."
"A name is required","Имя обязательно"
"A product type is not defined for the indexer.","Не указан тип товара для процесса индексации."
"ALL GROUPS","ВСЕ ГРУППЫ"
"AM","AM"
"Action","Действие"
"Actual Price","Текущая цена"
"Add","Добавить"
"Add Attribute","Добавить атрибут"
"Add Design Change","Добавить изменение дизайна"
"Add Group","Добавить группу"
"Add Group Price","Добавить цену для группы"
"Add New","Добавить новый"
"Add New Attribute","Добавить новый атрибут"
"Add New Attribute Set","Добавьте новый набор атрибутов"
"Add New Group","Добавить новую группу"
"Add New Images","Добавить новые изображения"
"Add New Option","Добавить новый вариант"
"Add New Row","Добавить новую строку"
"Add New Search Term","Добавить новый критерий поиска"
"Add New Set","Добавить новый набор"
"Add Product","Добавить товар"
"Add Product To Websites","Добавить товар на сайты"
"Add Root Category","Добавить категорию"
"Add Subcategory","Добавить подкатегорию"
"Add Tax","Добавить налог"
"Add Tier","Добавить уровень"
"Add attribute into attribute set","Добавить атрибут в набор"
"Add group into attribute set","Добавить группу в набор атрибутов"
"Add new custom option into product","Добавить в товар новый настраиваемый вариант"
"Add new values into custom option","Добавить новые значения в настраиваемый вариант"
"Add option","Добавить вариант"
"Add to Cart","В Корзину"
"Add to Compare","В сравнение"
"Add to Wishlist","В избранное"
"Additional Information","Дополнительная информация"
"Alert Urls","Alert Urls"
"All","Все"
"All Product Types","Все типы товаров"
"All Websites","Все сайты"
"All products","Все товары"
"All products - recently added products, New products - products marked as new","Все товары - недавно добавленные товары, Новые товары - товары с пометкой Новинка"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Все товары этого набора будут удалены! Вы действительно хотите удалить этот набор атрибутов?"
"Allow All Products per Page","Разрешить все товары на страницу"
"Allow Dynamic Media URLs in Products and Categories","Разрешить динамические адреса для медиа данных в товарах и категориях"
"Allow HTML Tags on Frontend","Разрешить HTML в пользовательской части"
"Allowed File Extensions","Разрешённые расширения файлов"
"Allowed file extensions to upload","Разрешённые для закачивания расширения файлов"
"An error occurred while adding customers for the %s alert. Message: %s","Ошибка при добавлении клиентов для оповещения %s. Сообщение: %s"
"An error occurred while adding products to websites.","Ошибка при добавлении товаров на сайты."
"An error occurred while clearing comparison list.","Ошибка при очистке списка сравнения."
"An error occurred while deleting this review.","Ошибка при удалении этого отзыва."
"An error occurred while removing products from websites.","Ошибка при удалении товаров с сайтов."
"An error occurred while saving the URL rewrite","Ошибка при сохранении правила URL"
"An error occurred while saving the URL rewrite.","Ошибка при сохранении правила URL."
"An error occurred while saving the attribute set.","Ошибка при сохранении этого набора атрибутов."
"An error occurred while saving the collection, aborting. Error message: %s","Ошибка при сохранении коллекции, отменено. Ошибка: %s"
"An error occurred while saving the product. ","Ошибка при сохранении этого товара. "
"An error occurred while saving the search query.","Ошибка при записи поискового запроса."
"An error occurred while saving this group.","Ошибка при сохранении этой группы."
"An error occurred while saving this review.","Ошибка при сохранении этого отзыва."
"An error occurred while trying to delete the category.","Ошибка при удалении категории."
"An error occurred while updating the product(s) attributes.","Ошибка при обновлении атрибутов товара(ов)."
"An error occurred while updating the product(s) status.","Ошибка при обновлении статуса товара(ов)."
"An invalid group ID is specified, skipping the record.","Указан неправильный ид группы, пропуск записи."
"An invalid option ID is specified for %s (%s), skipping the record.","Указан неправильный ид варианта для %s (%s), пропуск записи."
"An invalid store was specified.","Указан неправильный магазин."
"Anchor Custom Text","Текст ссылки"
"Anchor Custom Title","Заголовок ссылки"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Применимо только к товарам каталога и категориям. Любые медиа данные будут вставлены в редактор в виде статичных ссылок (URL). Ссылки не будут обновлены при смене базового пути в конфигурации системы."
"Apply MAP (Default Value)","Применить РРЦ (Занчение по умолчанию)"
"Apply To","Применить к"
"Approved","Одобрено"
"Are you sure you want to delete this category?","Вы действительно хотите удалить эту категорию?"
"Are you sure you would like to remove all products from your comparison?","Вы действительно хотите очистить список товаров для сравнения?"
"Are you sure you would like to remove this item from the compare products?","Вы действительно хотите удалить этот товар из списка для сравнения?"
"Are you sure you would like to remove this item from the comparison list?","Вы действительно хотите удалить этот товар из списка для сравнения?"
"Are you sure?","Вы уверены?"
"As low as:","Начиная с:"
"Assign","Назначить"
"Assign product link","Назначить ссылку на товар"
"Assign product to category","Назначить товар в категорию"
"Assigned Products","Назначенные товары"
"Associated Products","Объединённые товары"
"Attrib. Set Name","Набор атрибутов"
"Attribute ""%s"" is invalid.","Неверный атрибут ""%s""."
"Attribute ""%s"" is required.","Атрибут ""%s"" обязателен."
"Attribute Information","Информация об атрибуте"
"Attribute Model","Модель атрибута"
"Attribute Name:","Название атрибута:"
"Attribute Set","Набор атрибутов"
"Attribute Sets","Наборы атрибутов"
"Attribute add","Добавить аттрибут"
