"%s was added to your shopping cart.","Товар <strong>%s</strong> успешно добавлен в корзину покупок."
"%s was updated in your shopping cart.","Товар <strong>%s</strong> обновлён в корзине покупок."
"* Required Fields","* Обязательные поля"
"Add New Address","Добавить новый адрес"
"Add New Condition","Добавить новое условие"
"Add coupon code for shopping cart","Добавить код купона для корзины покупок"
"Add gift messages to shopping cart","Добавить поздравительное сообщение в корзину покупок"
"Add product to shopping cart","Добавить товар в корзину покупок"
"Add product(s) to shopping cart","Добавить товары в корзину покупок"
"Add to Cart","В корзину"
"Add to Compare","Добавить к сравнению"
"Add to Wishlist","В избранное"
"Additional Product Info","Дополнительная информация о товаре"
"Address","Адрес"
"Address %s of %s","Адрес %s из %s"
"After Adding a Product Redirect to Shopping Cart","Перейти в корзину покупок после добавления товара"
"Allow Guest Checkout","Разрешить гостям оформление заказов"
"Already registered?","Уже зарегистрированы?"
"An error occurred in the process of payment","Ошибка во время процесса оплаты"
"An error occurred while deleting this condition.","Ошибка при удалении этого условия."
"An error occurred while saving this condition.","Ошибка при сохранении этого условия."
"Apply Coupon","Использовать купон"
"Are you sure you would like to remove this item from the shopping cart?","Вы действительно хотите удалить этот товар из корзины?"
"Back","Вернуться"
"Back to Billing Information","Вернуться к информации о плательщике"
"Back to Select Addresses","Вернуться к выбору адресов"
"Back to Shipping Information","Вернуться к информации о доставке"
"Back to Shopping Cart","Вернуться в корзину покупок"
"Based on your selection, you may be interested in the following items:","Вы можете быть заинтересованы в следующих товарах:"
"Billing Address","Адрес покупателя"
"Billing Information","Адрес покупателя"
"Billing Information - %s","Покупатель - %s"
"Cancel Coupon","Отменить купон"
"Cannot add item to the shopping cart.","Невозможно добавить товар в корзину."
"Cannot add the item to shopping cart","Невозможно добавить товар в корзину"
"Cannot add the item to shopping cart.","Невозможно добавить товар в корзину."
"Cannot apply the coupon code.","Невозможно использовать код купона."
"Cannot configure product.","Невозможно настроить товар."
"Cannot open the overview page","Невозможно открыть страницу описания"
"Cannot process the item.","Невозможно обработать позицию."
"Cannot remove the item.","Невозможно удалить позицию."
"Cannot update shopping cart.","Невозможно обновить корзину."
"Cannot update the item.","Невозможно обновить позицию."
"Card Verification Number Visual Reference","Информация о проверочном коде на карте"
"Cart Product API","Api - товаров в корзине"
"Cart Product Api","Api - товаров в корзине"
"Cart Subtotal:","Итого в корзине:"
"Change","Изменить"
"Change Billing Address","Изменить адрес покупателя"
"Checkbox Text","Текст для галочки"
"Checkout","Оформить заказ"
"Checkout Conditions","Условия оформления заказа"
"Checkout Method","Метод оформления заказа"
"Checkout Options","Параметры оформления заказа"
"Checkout Progress Wrapper","Wrapper. Стадия оформления"
"Checkout Section","Раздел заказа"
"Checkout Terms and Conditions","Условия и Соглашения при оформлении заказа"
"Checkout as Guest","Продолжить без регистрации"
"Checkout as a Guest or Register","Регистрация"
"Checkout with Multiple Addresses","Оформить заказ на несколько адресов"
"City","Город"
"Clear Shopping Cart","Очистить корзину"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Нажмите <a href=""%s"" onclick=""this.target='_blank'"">здесь</a>, чтобы распечатать информацию по Вашему заказу."
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Нажмите <a href=""%s"" onclick=""this.target=\'_blank\'"">здесь</a>, чтобы распечатать информацию по Вашему заказу."
