"Collected Files Count","Количество собранных файлов"
"Compilation","Компиляция"
"Compilation State","Состояние компиляции"
"Compilation error","Ошибка компиляции"
"Compiled","Скомпилировано"
"Compiled Scopes Count","Количество скомпилированных модулей"
"Compiler Status","Статус компилятора"
"Compiler include path is disabled.","Путь к компилятору отключён."
"Compiler include path is enabled.","Путь к компилятору включён."
"Directory ""%s"" must be writeable","Папка ""%s"" должна быть доступна для записи"
"Disable","Отключить"
"Disabled","Отключено"
"Enable","Включить"
"Enabled","Включено"
"File ""%s"" must be writeable","Файл ""%s"" должен быть доступен для записи"
"Not Compiled","Не скомпилировано"
"Run Compilation Process","Запустить процесс компиляции"
"Scopes Compilation Settings","Классы, подлежащие компиляции"
"System","Система"
"The compilation has completed.","Компиляция завершена."
"Tools","Инструменты"
