"%s","%s"
"%s already exist.","%s уже существуют."
"%s already exists.","%s уже существует."
"-- Please Select --","-- Выберите --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Внимание!</strong> При использовании CDN, в некоторых случаях JavaScript может работать некорректно, если CDN не на вашем поддомене"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Внимание!</strong> При использовании кода магазина в URL, система может работать некорректно, если в сторонних сервисах (PayPal и т.п.) указан URL без кода магазина."
"A category object is required for determining the product request path.","Для определения адреса товара требуется объект категории."
"Add Block Names to Hints","Добавлять названия блоков к подсказкам"
"Add Secret Key to URLs","Добавлять секретный ключ к ссылкам (URLs)"
"Add Store Code to Urls","Добавлять код магазина к ссылкам (URLs)"
"Admin","Панель администрирования"
"Admin Base URL","Базовый URL панели администрирования"
"Admin User Emails","Почтовые адреса пользователей панели администрирования"
"Advanced","Расширенные"
"After selecting a new media storage location, press the Synchronize button","После выбора расположения нового медиа хранилища нажмите кнопку Синхронизировать"
"Allow Countries","Разрешить страны"
"Allow Symlinks","Разрешить символические ссылки"
"Allowed IPs (comma separated)","Разрешённые IP адреса (через запятую)"
"Allowed file types: ICO, PNG, GIF, JPEG, APNG, SVG. Not all browsers support all these formats!","Разрешённые типы файлов: ICO, PNG, GIF, JPEG, APNG, SVG. Не все браузеры поддерживают все форматы!"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Разрешённые типы файлов: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Не все браузеры поддерживают все форматы!"
"Allows customers to stay logged in when switching between different stores.","Позволяет клиенту оставаться авторизованным при переключении между различными магазинами."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Альтернативный текст для ссылки ""вперёд"" в переключении страниц. Если значение пустое, то будет использовано стандартное изображение стрелки."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Альтернативный текст для ссылки ""назад"" в переключении страниц. Если значение пустое, то будет использовано стандартное изображение стрелки."
"An error occurred while saving. Please review the error log.","Ошибка при сохранении. Пожалуйста, просмотрите журнал ошибок (лог)."
"Anchor Text for Next","Текст ссылки для ""вперёд"""
"Anchor Text for Previous","Текст ссылки для ""назад"""
"Anchor symbol (#) is not supported in request path","Символ якоря (#) не поддерживается в пути запроса"
"Anchor symbol (#) is not supported in url rewrite suffix","Символ якоря (#) не поддерживается в суффиксе url rewrite"
"Are you sure?","Вы уверены?"
"Auto-redirect to Base URL","Авто-перенаправление на базовый URL"
"Back","Вернуться"
"Backup Options","Параметры архивной копии"
"Base JavaScript URL","Базовый путь к JavaScript"
"Base Link URL","Базовый URL для ссылок"
"Base Media URL","Базовый путь к Media"
"Base Secure URL","Базовый безопасный URL"
"Base Skin URL","Базовый путь к оболочке (Skin)"
"Base URL","Базовый URL"
"Base Unsecure URL","Базовый небезопасный URL"
"Before modifying the store view code please make sure that it is not used in index.php.","Перед изменением кода представления магазина убедитесь, что он не используется в файле index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Перед изменением кода сайта убедитесь, что он не используется на в файле index.php."
"Block with name ""%s"" already exists","Блок с названием ""%s"" уже существует"
"Browser Capabilities Detection","Определение возможностей браузера"
"CSS Settings","Настройки CSS"
"Cache Storage Management","Управление хранилищем кэша"
"Cache storage may contain additional data. Are you sure that you want flush it?","Хранилище кэша может содержать и другие данные. Вы действительно хотите его полностью очистить?"
"Cache storage may contain another data. Are you sure that you want flush it?","Хранилище кэша может содержать и другие данные. Вы действительно хотите его полностью очистить?"
"Can not create invoice. Order was not found.","Невозможно создать счёт. Заказ не найден."
"Can't retrieve request object","Невозможно получить объект запроса"
"Can\'t retrieve entity config: %s","Невозможно получить конфигурацию: %s"
"Cancel","Отменить"
"Cannot complete this operation from non-admin area.","Невозможно завершить данную операцию не из панели администрирования."
"Cannot retrieve entity config: %s","Невозможно получить сущность конфигурации: %s"
"Card type does not match credit card number","Тип карты не совпадает с номером кредитной карты"
"Card type does not match credit card number.","Тип карты не совпадает с номером кредитной карты."
"Code","Код"
"Controller file was loaded but class does not exist","Файл контроллера был загружен, но класс не существует"
"Cookie Domain","Домен для cookie"
"Cookie Lifetime","Время жизни cookie"
"Cookie Path","Путь к cookie"
"Cookie Restriction Mode","Режим ограничения Cookie"
"Copyright","Авторские права"
"Core","Ядро"
"Countries Options","Параметры для стран"
"Country","Страна"
"Create Store","Создать магазин"
"Create Store View","Создать представление магазина"
"Create Website","Создать сайт"
"Credit card number does not match credit card type","Номер кредитной карты не совпадает с типом карты"
"Credit card number does not match credit card type.","Номер кредитной карты не совпадает с типом карты"
"Current Package Name","Название текущего пакета"
"Custom Admin Path","Нестандартный путь для панели администрирования"
"Custom Admin URL","Нестандартный адрес (URL) для панели администрирования"
"Custom Design","Настраиваемый дизайн"
"Custom Email 1","Другой email 1"
"Custom Email 2","Другой email 2"
"Custom Variables","Настраиваемые переменные"
"Custom1 Contact Email","Другой1. Контактный email"
"Custom1 Contact Name","Другой1. Контактное имя"
"Custom2 Contact Email","Другой2. Контактный email"
"Custom2 Contact Name","Другой2. Контактное имя"
"Customer Support","Служба поддержки"
"Dashboard","Панель управления"
"Date From","Дата с"
"Date To","Дата по"
"Date/time format ""%s"" is not supported.","Не поддерживается формат Date/time ""%s""."
"Debug","Устранение неполадок (debug)"
"Default","По умолчанию"
"Default Country","Страна по умолчанию"
"Default Description","Описание по умолчанию"
"Default Keywords","Ключевые слова по умолчанию"
"Default No-route URL","URL по умолчанию в случае отсутствия страницы"
"Default Pages","Страницы по умолчанию"
"Default Robots","Роботы по умолчанию"
"Default Store","Магазин по умолчанию"
"Default Store View","Представление магазина по умолчанию"
"Default Title","Заголовок по умолчанию"
"Default Web URL","Web URL по умолчанию"
"Delete","Удалить"
"Delete Store","Удалить магазин"
"Delete Store View","Удалить представление магазина"
"Delete Website","Удалить сайт"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Удаление %1$s не удалит информацию, связанную с %1$s (категории, товары и т.д.), но в дальнейшем %1$s восстановить будет невозможно. Предполагается, что вы создали резервную копию БД перед удалением %1$s."
"Design","Дизайн"
"Design Change","Изменение дизайна"
"Developer","Для разработчика"
"Developer Client Restrictions","Ограничения доступа разработчика (считать пользователя разработчиком, только если...)"
"Disable Email Communications","Отключение сообщений электронной почты"
"Disable Modules Output","Отключение вывода модулей"
"Display Demo Store Notice","Отображать уведомление о том, что это демонстрационный сайт"
"Duplicate Of Template Name","Дубликат названия шаблона"
"Edit Design Change","Редактировать изменение дизайна"
"Edit Store","Редактировать магазин"
"Edit Store View","Редактировать представление магазина"
"Edit Website","Редактировать сайт"
"Empty identifier field name","Пустое название поля идентификатора"
"Empty main table name","Пустое название основной таблицы"
"Enable Charts","Включить графики"
"Enable Prototype Deprecation Log","Включить Prototype Deprecation лог"
"Enabled","Включено"
"Enabled for Admin","Включено для панели администрирования"
"Enabled for Frontend","Включено для пользовательской части"
"Environment Update Time","Время обновления сервера"
"Error in file: ""%s"" - %s","Ошибка в файле: ""%s"" - %s"
"Error: Passwords do not match","Ошибка: Пароли не совпадают"
"European Union Countries","Страные европейского союза"
"Exceptions Log File Name","Название лог файла исключений"
"Favicon Icon","Иконка Favicon"
"File %s does not exist","Файл не существует: %s"
"File %s is not readable","Не читаемый файл: %s"
"File not found","Файл не найден"
"File system","Файловая система"
"File with an extension ""%value%"" is protected and cannot be uploaded","Файл с расширением ""%value%"" защищён и не может быть закачан"
"First Day of Week","Первый день недели"
"Flush Cache Storage","Очистить хранилище кэша"
"Flush Magento Cache","Очистить кэш Magento"
"Footer","Футер"
"Forgot Password Email Sender","Письмо о забытом пароле. Отправитель"
"Forgot Password Email Template","Письмо о забытом пароле. Шаблон"
"General","Общие"
"General Contact","Общий контакт"
"General Contact Email","Основной контактный email"
"General Contact Name","Основное контактное имя"
"General Settings","Общие настройки"
"Get info about current Magento installation","Получить информацию о текущей установке Magento"
"Global","Глобально"
"HTML Head","HTML заголовок"
"HTML tags are not allowed","Теги HTML запрещены"
"Header","Хэдер"
