"""%s"" contains not only digit characters.","""%s"" содержит не только цифровые символы."
"""%s"" does not fit the entered date format.","""%s"" не подходит для введённого формата даты."
"""%s"" exceeds the allowed file size.","""%s"" превышает разрешённый размер файла."
"""%s"" exceeds the allowed length.","""%s"" превышает разрешённую длину."
"""%s"" has not only alphabetic and digit characters.","""%s"" содержит не только буквы и цифры."
"""%s"" has not only alphabetic characters.","""%s"" содержит не только буквы."
"""%s"" height exceeds allowed value of %s px.","""%s"" высота превышает разрешённое значение в %s px."
"""%s"" invalid type entered.","""%s"" введён неверный тип."
"""%s"" is a required value.","""%s"" - это обязательное значение."
"""%s"" is an empty string.","""%s"" является пустой строкой."
"""%s"" is not a valid URL.","""%s"" не правильный URL."
"""%s"" is not a valid date.","""%s"" не правильная дата."
"""%s"" is not a valid email address.","""%s"" не правильный адрес электронной почты."
"""%s"" is not a valid file","""%s"" не правильный файл"
"""%s"" is not a valid file extension.","""%s"" не правильное расширение."
"""%s"" is not a valid file.","""%s"" не правильный файл."
"""%s"" is not a valid hostname.","""%s"" не правильный хост."
"""%s"" is not a valid image format","""%s"" не правильный формат изображения"
"""%s"" length must be equal to or greater than %s characters.","""%s"" длина должна быть равна или больше чем %s символов."
"""%s"" length must be less than or equal to %s characters.","""%s"" длина должна быть меньше или равна %s символам."
"""%s"" width exceeds allowed value of %s px.","""%s"" ширина превышает разрешённое значение в %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' похоже на имя DNS, но не удается выделить TLD (домен верхнего уровня)"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' похоже на имя DNS, но не удается найти доен верхнего уровня в списке известных"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' appears to be a DNS hostname but contains a dash in an invalid position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' appears to be a local network name but local network names are not allowed"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' appears to be an IP address, but IP addresses are not allowed"
"'%value%' does not appear to be a valid local network name","'%value%' does not appear to be a valid local network name"
"* Required Fields","* Обязательные поля"
"A new password has been sent.","Новый пароль был отправлен."
"ALL GROUPS","ВСЕ ГРУППЫ"
"Account Dashboard","Панель управления"
"Account Information","Данные учётной записи"
"Account Sharing Options","Параметры разделения учётной записи"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Требуется подтверждение учётной записи. Ссылка для подтверждения была выслана на указанный адрес электронной почты. Чтобы выслать ссылку повторно нажмите <a href=""%s"">сюда</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Требуется подтверждение учётной записи. Ссылка для подтверждения была выслана на указанный адрес электронной почты. Чтобы выслать ссылку повторно нажмите <a href=""%s"">сюда</a>."
"Action","Действие"
"Add New Address","Добавить новый адрес"
"Add New Customer","Добавить нового клиента"
"Add New Customer Group","Добавить новую группу клиентов"
"Added From","Добавлено из"
"Additional Address Entries","Дополнительные адреса"
"Address","Адрес"
"Address Book","Адресная книга"
"Address Books","Адресные книги"
"Address Information","Информация об адресе"
"Address Templates","Шаблоны адресов"
"Addresses","Адреса"
"Admin","Панель администрирования"
"All","Все"
