"""%s"" contains not only digit characters.","""%s"" contains not only digit characters."
"""%s"" does not fit the entered date format.","""%s"" does not fit the entered date format."
"""%s"" exceeds the allowed file size.","""%s"" exceeds the allowed file size."
"""%s"" exceeds the allowed length.","""%s"" exceeds the allowed length."
"""%s"" has not only alphabetic and digit characters.","""%s"" has not only alphabetic and digit characters."
"""%s"" has not only alphabetic characters.","""%s"" has not only alphabetic characters."
"""%s"" height exceeds allowed value of %s px.","""%s"" height exceeds allowed value of %s px."
"""%s"" invalid type entered.","""%s"" invalid type entered."
"""%s"" is a required value.","""%s"" is a required value."
"""%s"" is an empty string.","""%s"" is an empty string."
"""%s"" is not a valid URL.","""%s"" is not a valid URL."
"""%s"" is not a valid date.","""%s"" is not a valid date."
"""%s"" is not a valid email address.","""%s"" is not a valid email address."
"""%s"" is not a valid file","""%s"" is not a valid file"
"""%s"" is not a valid file extension.","""%s"" is not a valid file extension."
"""%s"" is not a valid file.","""%s"" is not a valid file."
"""%s"" is not a valid hostname.","""%s"" is not a valid hostname."
"""%s"" is not a valid image format","""%s"" is not a valid image format"
"""%s"" length must be equal or greater than %s characters.","""%s"" length must be equal or greater than %s characters."
"""%s"" length must be equal or less than %s characters.","""%s"" length must be equal or less than %s characters."
"""%s"" width exceeds allowed value of %s px.","""%s"" width exceeds allowed value of %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' appears to be a DNS hostname but cannot extract TLD part"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' appears to be a DNS hostname but cannot match TLD against known list"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' appears to be a DNS hostname but contains a dash in an invalid position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' appears to be a local network name but local network names are not allowed"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' appears to be an IP address, but IP addresses are not allowed"
"'%value%' does not appear to be a valid URI hostname","'%value%' does not appear to be a valid URI hostname"
"'%value%' does not appear to be a valid local network name","'%value%' does not appear to be a valid local network name"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' does not match the expected structure for a DNS hostname"
"A joint field with this alias (%s) is already declared","A joint field with this alias (%s) is already declared"
"A joint field with this alias (%s) is already declared.","Присоединяемое поле для этого псевдонима (alias) (%s) уже объявлено."
"Add Option","Добавить вариант"
"An error occurred while loading a record, aborting. Error: %s","Ошибка при загрузке записи, отменено. Ошибка: %s"
"An error occurred while loading the collection, aborting. Error: %s","Ошибка при загрузке коллекции, отменено. Ошибка: %s"
"An error occurred while saving a record, aborting. Error: ","Ошибка при сохранении записи, отменено. Ошибка: "
"Attempt to add an invalid object","Попытка добавить неправильный объект"
"Attempt to add an invalid object.","Попытка добавить неправильный объект."
"Attribute '%s' used in configurable products","Атрибут '%s' используется в настраиваемых товарах"
"Attribute '%s' used in configurable products.","Атрибут '%s' используется в настраиваемых товарах."
"Attribute Code","Код атрибута"
"Attribute Label","Заголовок атрибута"
"Attribute Properties","Свойства атрибута"
"Attribute object is undefined","Объект атрибута не определён."
"Attribute set with the ""%s"" name already exists.","Набор атрибутов с названием ""%s"" уже существует."
"Attribute with the same code","Атрибут с таким же кодом"
"Can\'t create table: %s","Невозможно создать таблицу: %s"
"Catalog Input Type for Store Owner","Тип ввода каталога для владельца магазина"
"Current module EAV entity is undefined","Current module EAV entity is undefined"
"Current module pathname is undefined","Current module pathname is undefined"
"Data integrity: No header row found for attribute","Data integrity: No header row found for attribute"
"Data integrity: No header row found for attribute.","Целостность данных: Не найдена строка заголовка для атрибута."
"Date","Дата"
"Decimal Number","Десятичное число"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Значение по умолчанию поля ""Сортировать по критерию"" списка товаров не существует в доступных значениях для этого поля."
"Default Product Listing Sort by not exists on Available Product Listing Sort By","Значение по умолчанию поля ""Сортировать по критерию"" списка товаров не существует в доступных значениях для этого поля."
"Default Value","Значение по умолчанию"
"Default option value is not defined","Значение варианта по умолчанию не определено"
"Default option value is not defined.","Значение варианта по умолчанию не определено."
"Delete","Удалить"
"Dropdown","Выпадающий список"
"Email","Email"
"Entity collection expected.","Пропущена коллекция сущности."
"Entity collections expected.","Пропущены коллекции сущности."
"Entity instance is not defined","Entity instance is not defined"
"Entity is not initialized","Сущность не инициализируется"
"Entity is not initialized.","Сущность не инициализируется."
"Entity object is undefined","Entity object is undefined"
"Failed to load node %s from config","Не удаётся загрузить узел %s из конфигурации"
"Failed to load node %s from config.","Не удаётся загрузить узел %s из конфигурации."
