"(Make sure you keep it in a safe place.)","(Убедитесь, что храните ключ в безопасном месте.)"
"(Optional. Leave blank for no prefix)","(Необязательно. Оставьте пустым, чтобы не использовать префикс)"
"(ver. %s)","(вер. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Дополнительный путь, добавляемый после базового URL для доступа к вашей панели администрирования (например: admin, backend, control и т.п.)."
"Admin Path","Путь к панели администрирования"
"After successfull installation please click the button below.","После успешной установки нажмите на кнопку ниже."
"All packages were installed, click 'OK' to continue with installation.","Все пакеты установлены, нажмите кнопку 'ОК' для продолжения установки."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","В качестве альтернативы, вы можете попробовать самостоятельно скачать и установить обновления."
"Base URL","Базовый URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Прежде чем продолжить, пожалуйста, сохраните информацию о вашем ключе шифрования. (Magento использует его для шифрования паролей, информации кредитных карт и т.п.)."
"Check out our","Смотрите наше"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Установите этот флажок, только если невозможно автоматически проверить защищённый URL, например, если требуется HTTP авторизация"
"Check this box only if it is not possible to automatically validate the Base URL.","Установите этот флажок, только если невозможно автоматически проверить Базовый URL"
"Choose this if you would like to test frontend and backend functionality.","Выберите этот метод, если хотите протестировать функциональность пользовательской части и панели администрирования."
"Configuration","Конфигурация"
"Confirm Password","Подтвердите пароль"
"Connection","Подключение"
"Continue","Продолжить"
"Continue After Manual Download","Продолжить после скачивания в ручную"
"Continue Full Download / SVN Installation","Продолжить полную / SVN установку"
"Create Admin Account","Создание учётной записи администратора"
"Currently this is the most stable state available for Magento packages.","В настоящий момент это наиболее стабильные версии доступных пакетов Magento"
"Database","База данных"
"Database Connection","Подключение к базе данных"
"Database Name","Название базы данных"
"Database Name cannot be empty.","Название базы данных не может быть пустым."
"Database Type","Тип базы данных"
"Database connection error.","Ошибка подключения к базе данных."
"Database host","Хост базы данных"
"Database server does not support the InnoDB storage engine.","Сервер базы данных не поддерживает InnoDB."
"Database user name","Имя пользователя базы данных"
"Database user password","Пароль к базе данных"
"Default Currency","Валюта по умолчанию"
"Download","Скачать"
"Download Magento Core Modules and Updates","Скачать основные модули Magento и их обновления"
"Downloading and installing Magento, please wait...","Скачивание и установка Magento. Пожалуйста, подождите..."
"Email","Электронная почта (email)"
"Email Address","Email"
"Enable Charts","Включить графики"
"Enable this option if you want the charts to be displayed on Dashboard.","Включите этот параметр, если хотите, чтобы графики отображались в панели управления."
"Enable this option only if you have SSL available.","Включайте этот параметр, только если у вас установлен SSL."
"Encryption Key","Ключ шифрования"
"File System","Файловая система"
"First Name","Имя"
"Full Download / SVN Installation","Полностью загруженная версия / SVN установка"
"Get ready to experience Open-Source eCommerce Evolved.","Благодарим вас за использование Magento - нового Open-Source решения для электронной коммерции."
"Go to Backend","Перейти к панели администрирования"
"Go to Frontend","Перейти к пользовательской части"
"Having trouble installing Magento?","Проблемы с установкой Magento?"
"Help Us to Keep Magento Healthy","Помогите сделать Magento лучше"
"Host","Хост"
"I agree to the above terms and conditions.","Я согласен с вышеуказанными условиями и соглашениями."
"If you are a developer and would like to have the latest public updates, choose this option.","Если вы являетесь разработчиком и хотели бы получать последние общедоступные обновления, выберите этот параметр."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Если вы запускаете php как cgi, ваши php процессы могут работать под одним и тем же пользователем, что и при закачке файлов Magento на сервер."
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","Если вы запустили мастер установки поверх ранее скачанной и установленной версии Magento, продолжайте этот метод."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Если вы не хотите или не можете разрешить запись в каталоги вашему web-процессу, можете использовать исполняемый файл PEAR, расположенный в корневой папке установки Magento."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Если вы скачали полную версию или установили Magento через SVN, вы должны пропустить процесс установки и проверки пакетов, нажав на кнопку ниже."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Если вы хотите управлять пакетами Magento через административный web-интерфейс, у вас должны быть права на запись для всех файлов и папок Magento."
"If your server is running on MS Windows, most probably you will not need to change anything.","Если ваш сервер работает на MS windows, скорее всего вам не потребуется что-то менять."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","В остальных случаях вам будет необходимо установить права на запись файлов Magento для пользователя, от имени которого будет запущен процесс веб-сервера."
"Installation","Установка"
"Installation Guide","Руководство по установке"
"Installer does not exist for %s database type","Отсутствует установщик для базы данных типа %s"
"Last Name","Фамилия"
"License Agreement","Лицензионное соглашение"
"Locale","Локализация"
"Locale settings","Настройки локализации"
"Localization","Локализация"
"Login Information","Информация для авторизации"
"Magento","Magento"
"Magento Connect Manager Deployment","Magento Connect Manager Deployment"
"Magento Installation Wizard","Мастер установки Magento"
"Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.","Торговая марка Magento принадлежит компании Magento Inc. Copyright &copy; %s Magento Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento использует этот ключ для шифрования паролей, информации о кредитных картах и т.п. Если это поле оставить пустым, система самостоятельно создаст ключ шифрования и покажет вам его на следующей странице."
"Manual Downloads and Upgrades","Скачивания и обновления вручную"
"No resource for %s DB model.","No resource for %s DB model."
"One of PHP Extensions ""%s"" must be loaded.","Одно из PHP расширений ""%s"" должно быть загружено."
