"%s %s %s - %s. %s. %s","%s %s %s - %s. %s. %s"
"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure Card Validation"
"API Login ID","API Login ID"
"Accepted Currency","Принимаемые валюты"
"Allow Partial Authorization","Разрешить Partial Authorization"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Вы действительно хотите отменить ваш платёж? Нажмите OK для отмены вашего платежа и освобождения зарезервированной суммы. Нажмите Cancel для ввода другой кредитной карты и продолжения процесса оплаты."
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"Authorize.Net Transaction ID %s","Authorize.Net Transaction ID %s"
"Authorize.net","Authorize.net"
"Cancel","Отменить"
"Centinel API URL","Centinel API URL"
"Centinel Api URL","Centinel Api URL"
"Credit Card Types","Типы кредитных карт"
"Credit Card Verification","Проверка кредитной карты"
"Credit Card: xxxx-%s","Кредитная карта: xxxx-%s"
"Debug","Отладка"
"Email Customer","Email Customer"
"Enabled","Включено"
"Error in capturing the payment.","Ошибка при получении платежа."
"Error in payment gateway.","Ошибка со стороны платёжного шлюза."
"Error in refunding the payment.","Ошибка при возврате платежа."
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s)."
"Gateway error: %s","Ошибка шлюза: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement."
"Invalid amount for authorization.","Неверная сумма для авторизации."
"Invalid amount for capture.","Неверная сумма для снятия."
"Invalid amount for partial authorization.","Invalid amount for partial authorization."
"Invalid amount for refund.","Неверная сумма для возврата."
"Invalid split tenderId ID.","Invalid split tenderId ID."
"Invalid transaction ID.","Неправильный ИД транзакции."
"Maximum Order Total","Максимальная сумма заказа"
"Merchant's Email","Email продавца"
"Minimum Order Total","Минимальная сумма заказа"
"New Order Status","Новый статус заказа"
"Parent Authorize.Net transaction (ID %s) expired","Parent Authorize.Net transaction (ID %s) expired"
"Payment Action","Действие оплаты"
"Payment authorization error.","Ошибка авторизации оплаты."
"Payment authorization transaction has been declined.","Транзакция была отклонена в момент авторизации оплаты"
"Payment canceling error.","Ошибка отмены платежа."
"Payment capturing error.","Ошибка при снятии суммы."
"Payment from Applicable Countries","Оплата из доступных стран"
"Payment from Specific Countries","Оплата из выбранных стран"
"Payment partial authorization error.","Payment partial authorization error."
"Payment refunding error.","Payment refunding error."
"Payment updating error.","Payment updating error."
"Payment voiding error.","Payment voiding error."
"Processed Amount","Processed Amount"
"Remaining Balance","Remaining Balance"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation Removes Chargeback Liability on Merchant"
"Shopping cart contents and/or address has been changed.","Shopping cart contents and/or address has been changed."
"Sort Order","Порядок сортировки"
"Test Mode","Тестовый режим"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel."
"There was an error canceling transactions. Please contact us or try again later.","There was an error canceling transactions. Please contact us or try again later."
"Title","Заголовок"
"Transaction Key","Ключ транзакции"
"You have reached the maximum number of credit card allowed to be used for the payment.","You have reached the maximum number of credit card allowed to be used for the payment."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents."
"Your payment has been cancelled. All authorized amounts have been released.","Your payment has been cancelled. All authorized amounts have been released."
"amount %s","сумма %s"
"authorize","authorize"
"authorize and capture","authorize and capture"
"capture","capture"
"failed","failed"
"refund","refund"
"successful","successful"
"void","void"
