"Abandoned Carts","Заброшенные корзины"
"Abandoned carts","Заброшенные корзины"
"Action","Действие"
"Add to Cart","В корзину"
"Add to Compare","В сравнение"
"Add to Wishlist","В избранное"
"Any","Любой"
"Applied Coupon","Применяемый купон"
"Applies to Any of the Specified Order Statuses","Применим к любому из указанных статусов заказа"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Вы действительно хотите обновить статистику за весь период? Скорее всего это повлияет на производительность всей системы."
"Are you sure?","Уверены?"
"Avg. Approved Rating","Средний утверждённый рейтинг"
"Avg. Rating","Средний рейтинг"
"Bestsellers","Самые продаваемые товары"
"Bought from wishlists","Куплено из листов пожеланий"
"CSV","CSV"
"Carts","Корзины"
"Catalog Category (Without Subcategories)","Категория каталога (без подкатегорий)"
"Compared Products Grid Template","Сравниваемые товары. Шаблон в виде сетки"
"Compared Products List Template","Сравниваемые товары. Шаблон в виде списка"
"Coupons","Купоны"
"Coupons Usage Report","Отчёт использования купонов"
"Created At","Создано"
"Current Month Starts","Начало текущего месяца"
"Customer","Клиент"
"Customer Name","Имя клиента"
"Customer Tags","Метки клиента"
"Customers","Клиенты"
"Customers Report","Отчёт о клиентах"
"Customers Reviews","Отзывы клиентов о товарах"
"Customers Tags","Метки клиентов"
"Customers by Number of Orders","Клиенты по количеству заказов"
"Customers by Orders Total","Клиенты по сумме заказов"
"Customers by number of orders","Клиенты по количеству заказов"
"Customers by orders total","Клиенты по сумме заказов"
"Customers that have wishlist: %s%","Клиенты, у которых есть листы пожеланий: %s%"
"Dashboard","Панель управления"
"Day","День"
"Default Recently Compared Products Count","Показываемое кол-во недавно добавленных в сравнение товаров"
"Default Recently Viewed Products Count","Показываемое кол-во недавно просмотренных товаров"
"Description","Описание"
"Detail","Детали"
"Downloads","Скачиваний"
"Email","Электронная почта (email)"
"Empty Rows","Пустые строки"
"Excel XML","Excel XML"
"Filter","Фильтр"
"First Name","Имя"
"From","от"
"Guest","Гость"
"Hits","Посещения"
"ID","ИД"
"IP Address","IP адрес"
"Index model name must be defined","Имя модели индекса должно быть определено"
"Invalid date specified.","Указана неверная дата."
"Invoiced","Оплачено"
"Items in Cart","Позиций в корзине"
"Last Name","Фамилия"
"Last Review","Последний отзыв"
"Link","Ссылка"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Список товаров, которые недавно сравнивали, но были удалены из сравнения посетителем"
"List of Products Recently Viewed by Visitor","Список товаров, недавно просмотренных посетителем"
"Low Stock","Малое кол-во в наличии"
"Low stock","Малое кол-во в наличии"
"Match Period To","Период по полю"
"Month","Месяц"
"Most Viewed","Наиболее посещаемые"
"Name","Имя"
"New Accounts","Новые учётные записи"
"No","Нет"
"No records found for this period.","Нет записей за указанный период."
"Number Added","Количество добавленных"
"Number Fulfilled","Количество выполненных"
"Number Of Reviews","Количество отзывов"
"Number Purchased","Количество приобретений"
"Number Viewed","Количество просмотренных"
"Number of Items","Количество позиций"
"Number of New Accounts","Количество новых учётных записей"
"Number of Products to display","Количество отображаемых товаров"
"Number of Reviews","Количество отзывов"
"Number of Times Deleted","Кол-во удалений"
"Number of Total Tags","Общее количество меток"
"Number of Unique Tags","Количество уникальных меток"
"Number of Views","Кол-во просмотров"
"Number of items bought from a wishlist: %s","Количество товаров, купленных из листа пожеланий: %s"
"Number of times wishlists have been shared (emailed): %s","Количество раз, когда листы пожеланий были отправлены по email: %s"
"Number of wishlist conversions: %s","Количество конверсий из листа пожеланий: %s"
