"""%s"" coupon code is not valid.","Код купона ""%s"" неверный."
"%s","%s"
"%s / %s rate:","%s / %s курс:"
"%s for %s","%s за %s"
"%s order(s) cannot be canceled","Заказов не может быть отменено: %s."
"%s order(s) have been canceled.","Заказов отменено: %s."
"%s order(s) have been put on hold.","Заказов отложено: %s."
"%s order(s) have been released from holding status.","Заказов возобновлено из статуса ""отложен"": %s."
"%s order(s) were not put on hold.","Заказов не может быть отложено: %s."
"%s order(s) were not released from holding status.","Заказов не может быть возобновлено из статуса ""отложен"": %s."
"* - Enter custom price excluding tax","* - Введите другую цену без учёта налога"
"* - Enter custom price including tax","* - Введите другую цену включая налог"
"* Required Fields","* Обязательные поля"
"-- Please Select --","-- Выберите --"
"-- Please Select Billing Agreement--","-- Выберите соглашение о платеже --"
"About This Order:","О заказе:"
"About This Profile:","Об этом профиле:"
"About Your Invoice","О вашем счёте"
"About Your Order","О вашем заказе"
"About Your Refund","О вашем возврате"
"About Your Shipment","О вашей доставке"
"Accept Payment","Подтвердить платёж"
"Accept or Deny Payment","Подтвердить отказ в платеже"
"Account Information","Информация об учётной записи"
"Action","Действие"
"Actions","Действия"
"Activate","Активировать"
"Active","Активно"
"Add","Добавить"
"Add Gift Messsage","Добавить поздравительное сообщение"
"Add New Address","Добавить новый адрес"
"Add Order Comments","Добавить комментарии к заказу"
"Add Package","Добавить пакет"
"Add Products","Добавить товары"
"Add Selected Product(s) to Option","Добавить выбранные товары в вариант"
"Add Selected Product(s) to Order","Добавить выбранные товары в заказ"
"Add Selected Product(s) to Package","Добавить выбранные товары в пакет"
"Add To Order","Добавить к заказу"
"Add Tracking Number","Добавить номер отслеживания"
"Add a gift message for <strong>each gift item</strong>","Добавить поздравительное сообщение для <strong>каждого товара</strong>"
"Add a gift message for the <strong>entire order</strong>","Добавить поздравительное сообщение для <strong>всего заказа</strong>"
"Add comment to order","Добавить комментарий к заказу"
"Add new comment to credit memo","Добавит новый комментарий к возврату платежа"
"Add new comment to shipment","Добавит новый комментарий к отправлению"
"Add new tracking number","Добавить новый номер отслеживания"
"Add to Cart","В корзину"
"Additional Product Info","Дополнительная информация о товаре"
"Address","Адрес"
"Address model is not defined.","Модель адреса не определена."
"Adjustment Fee","Корректировка оплаты"
"Adjustment Refund","Корректировка возврата"
"Agreement Information","Информация о соглашении"
"Allow Reorder","Разрешить перезаказ"
"Amount","Сумма"
"Amount: %s.","Сумма: %s."
"An error occurred while assigning order status. Status has not been assigned.","Ошибка при присвоении статуса заказа. Статус не присвоен."
"An error occurred while creating shipping label.","Ошибка при создании квитка доставки."
"An error occurred while saving order status. The status has not been added.","Ошибка при сохранении статуса заказа. Статус не добавлен."
"An error occurred while unassigning order status.","Ошибка при попытке отменить присвоение статуса."
"An error occurred while updating the order address. The address has not been changed.","Ошибка при обновлении адреса заказа. Адрес не был изменён."
"An item option with code %s already exists.","Вариант позиции с кодом %s уже существует."
"Anchor Custom Title","Заголовок ссылки"
"Append Comments","Добавить комментарии"
"Apply","Применить"
"Apply Coupon Code","Применить код купона"
"Approved the payment online.","Утверждённые платежи онлайн."
"Are you sure you want to accept this payment?","Вы действительно подтверждаете этот платёж?"
"Are you sure you want to cancel this order?","Вы действительно хотите отменить этот заказ?"
"Are you sure you want to delete all items from shopping cart?","Вы действительно хотите удалить все товары из корзины?"
