"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","''*' - соответствует всему; 'xyz*' - соответствует всему, что начинается на 'xyz' и не длиннее %d."
"-- Please Select --","-- Выберите --"
"Add New Class","Добавить класс"
"Add New Tax Rate","Добавить налоговую ставку"
"Add New Tax Rule","Добавить налоговое правило"
"After Discount","После скидки"
"An error occurred while deleting this rate.","Ошибка при удалении этой ставки."
"An error occurred while deleting this rate. Incorrect rate ID.","Ошибка при удалении этой ставки. Неверный ИД ставки."
"An error occurred while deleting this tax class.","Ошибка при удалении этого налогового класса."
"An error occurred while deleting this tax rule.","Ошибка при удалении этого налогового правила."
"An error occurred while saving this rate.","Ошибка при сохранении этой ставки."
"An error occurred while saving this tax class.","Ошибка при сохранении этого налогового класса."
"An error occurred while saving this tax class. A class with the same name","Ошибка при сохранении этого налогового класса. Класс с совпадающим названием"
"An error occurred while saving this tax class. A class with the same name already exists.","Ошибка при сохранении этого налогового класса. Класс с таким названием уже существует."
"An error occurred while saving this tax rule.","Ошибка при сохранении этого налогового правила."
"Apply Customer Tax","Применить клиентский налог"
"Apply Discount On Prices","Применить скидку на цены"
"Apply Tax On","Применить налог к"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Скидка на цену с налогом рассчитывается на основе налога магазина, если выбрано ""Применить налог после скидки""."
"Are you sure you want to do this?","Вы действительно хотите это сделать?"
"Back","Вернуться"
"Before Discount","До скидки"
"CSV","CSV"
"Calculate off subtotal only","Calculate off subtotal only"
"Calculation Settings","Настройки вычисления"
"Catalog Prices","Цены каталога"
"Class Name","Название класса"
"Click here to go to <a href=""%s"">Tax configuration</a> and change your settings.","Нажмите сюда для перехода на страницу <a href=""%s"">конфигурации налогов</a> и измените ваши настройки."
"Code","Код"
"Country","Страна"
"County","Округ"
"Custom price if available","Индивидуальная цена, если доступна"
"Customer Tax Class","Налоговый класс для клиента"
"Customer Tax Class Information","Информация о налоговом классе для клиента"
"Customer Tax Classes","Налоговые классы для клиента"
"Default Country","Страна по умолчанию"
"Default Post Code","Почтовый индекс по умолчанию"
"Default State","Штат по умолчанию"
"Default Tax Destination Calculation","Вычисление налога по умолчанию"
"Delete Class","Удалить класс"
"Delete Rate","Удалить ставку"
"Delete Rule","Удалить правило"
"Display Full Tax Summary","Отображать полную сводку по налогам"
"Display Prices","Отображать цены"
"Display Product Prices In Catalog","Отображать цены товаров в каталоге"
"Display Shipping Amount","Отображать сумму доставки"
"Display Shipping Prices","Отображать цены доставки"
"Display Subtotal","Отображать сумма"
"Display Zero Tax Subtotal","Отображать нулевой налог для предварительного итога"
"Edit Class","Редактировать класс"
"Edit Class '%s'","Редактировать класс '%s'"
"Edit Rule","Редактировать правило"
"Edit Tax Rate","Редактировать налоговую ставку"
"Excel XML","Excel XML"
"Excl. Tax","Без налога"
"Excl. Tax:","Без налога:"
"Excluding Tax","Без налога"
"Export Tax Rates","Экспорт налоговых ставок"
"Grand Total (Excl. Tax)","Итого (без налога)"
"Grand Total (Excl.Tax)","Итого (без налога)"
"Grand Total (Incl. Tax)","Итого (включая налог)"
"Grand Total (Incl.Tax)","Итого (включая налог)"
"Grand Total Excl. Tax","Итого без налога"
"Grand Total Incl. Tax","Итого, включая налог"
"Ignore this notification","Игнорировать это уведомление"
"Import / Export Tax Rates","Импорт / Экспорт налоговых ставок"
"Import Tax Rates","Импорт налоговых ставок"
"Inc. Tax","Включая налог"
"Incl. Tax","Включая налог"
"Incl. Tax:","Включая налог:"
"Include Tax In Grand Total","Включить налог в итоговую сумму"
"Including Tax","Включая налог"
"Including and Excluding Tax","Без налога и включая налог"
"Invalid file format upload attempt","Попытка загрузки файла с неправильным форматом"
"Invalid file upload attempt","Попытка загрузить неправильный файл"
"Manage Customer Tax Classes","Управление налоговыми классами для клиентов"
"Manage Product Tax Classes","Управление налоговыми классами для товаров"
"Manage Tax Rates","Управление налоговыми ставками"
"Manage Tax Rules","Управление налоговыми правилами"
"Manage Tax Zones & Rates","Управление налоговыми зонами и ставками"
