"All Websites","Все сайты"
"Apply Discounts To FPT","Применить скидку к FPT"
"Apply Tax To FPT","Применить налог к FPT"
"Display Prices In Emails","Отображать цены в письмах (emails)"
"Display Prices In Product Lists","Отображать цены в списке товаров"
"Display Prices In Sales Modules","Отображать цены в модулях оплаты"
"Display Prices On Product View Page","Отображать цены на странице просмотра товара"
"Enable FPT","Включить FPT"
"Excluding FPT","Исключая FPT"
"Excluding FPT, FPT description, final price","Исключая FPT, описание FPT, конечную цену"
"FPT Tax Configuration","Настройка налога FPT"
"Fixed Product Tax","Фиксированный налог товара (FPT)"
"Fixed Product Taxes","Фиксированные налоги товара"
"Include FPT In Subtotal","Включить FPT в сумму"
"Including FPT and FPT description","Включая FPT и описание FPT"
"Including FPT and FPT description [incl. FPT VAT]","Включая FPT и описание FPT [вкл. FPT VAT]"
"Including FPT only","Включая только FPT"
"Loaded and Displayed with Tax","Загружено и отображено с налогом"
"Not Taxed","Без налога"
"Taxed","С налогом"
"Total","Всего"
"Total Incl. Tax","Всего, включая налог"
"Total excl. tax","Всего без налога"
"Total incl. tax","Всего, включая налог"
